ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0045211	CC	GO:0045211	postsynaptic membrane	38/542	348/28585	3.97666542964794e-18	1.1532329745979e-15	8.70680430912391e-16	Hcn1/Pcdh17/Cdh9/Cdh10/Grik1/Sorcs3/Lrrc4c/Syndig1/Ptprt/Nlgn1/Slitrk3/Gria2/Glrb/Kcnd3/Kcna3/Kcna2/Plppr4/Lrrc7/Grin3a/Adam22/Grm3/Cacna2d1/Magi2/Kctd8/Gabrg1/Gabra2/Gabra4/Gabrb1/Adgrl3/Kcnd2/Chrm2/Dgki/Grid2/Ctnna2/Lrrtm1/Lrrtm4/Grm7/Slc6a11	38
GO:0042734	CC	GO:0042734	presynaptic membrane	29/542	238/28585	2.20105974505475e-15	3.19153663032938e-13	2.40958119458625e-13	Htr1a/Hcn1/Pcdh17/Cdh9/Cdh10/Rims2/Grik1/Ntng2/Kcnj3/Scn2a/Scn1a/Gria2/Kcna3/Kcna2/Ntng1/Cnr1/Ptprd/Grm3/Cacna2d1/Gabra2/Gabrb1/Grm8/Chrm2/Dgki/Cntnap2/Ctnna2/Cntn6/Grm7/Slc6a11	29
GO:0005550	MF	GO:0005550	pheromone binding	20/539	93/28171	8.89317666641862e-16	4.62445186653768e-13	3.43557456481646e-13	Mup1/Mup17/Vmn1r6/Vmn1r7/Vmn1r8/Vmn1r9/Vmn1r16/Vmn1r17/Vmn1r18/Vmn1r19/Vmn1r22/Vmn1r23/Vmn1r24/Vmn1r26/Vmn1r30/Vmn1r33/Vmn1r35/Vmn1r36/Vmn1r37/Vmn1r38	20
GO:0098982	CC	GO:0098982	GABA-ergic synapse	22/542	134/28585	1.06595150581024e-14	1.0304197889499e-12	7.7795759020537e-13	Htr1a/Pcdh17/Cdh10/Rims2/Gad2/Nlgn1/Slitrk3/Glrb/Kcnd3/Cnr1/Pclo/Magi2/Gabra2/Gabra4/Gabrb1/Kcnd2/Grm8/Cntnap2/Lrrtm1/Lrrtm4/Grm7/Slc6a11	22
GO:0016503	MF	GO:0016503	pheromone receptor activity	20/539	101/28171	4.84996385354223e-15	1.26099060192098e-12	9.36808807499999e-13	Vmn1r6/Vmn1r7/Vmn1r8/Vmn1r9/Vmn1r16/Vmn1r17/Vmn1r18/Vmn1r19/Vmn1r22/Vmn1r23/Vmn1r24/Vmn1r26/Vmn1r30/Vmn1r33/Vmn1r35/Vmn1r36/Vmn1r37/Vmn1r38/Vmn1r45/Vmn1r46	20
GO:0034702	CC	GO:0034702	ion channel complex	31/542	301/28585	2.58144154755609e-14	1.87154512197817e-12	1.41299958392544e-12	Hcn1/Grik1/Olfm1/Kcnj3/Scn2a/Scn1a/Scn9a/Scn7a/Ryr3/Pex5l/Gria2/Glrb/Kcnd3/Kcna3/Kcna2/Kcna10/Olfm3/Cngb3/Grin3a/Pde4b/Cacna2d1/Dpp6/Kcnip4/Gabrg1/Gabra2/Gabra4/Gabrb1/Kcnd2/Cntnap2/Grid2/Lrrtm4	31
GO:0099634	CC	GO:0099634	postsynaptic specialization membrane	22/542	154/28585	2.05382636700857e-13	1.19121929286497e-11	8.99359756500595e-12	Cdh10/Grik1/Sorcs3/Lrrc4c/Syndig1/Ptprt/Nlgn1/Slitrk3/Gria2/Kcnd3/Plppr4/Lrrc7/Grin3a/Adam22/Gabra2/Gabra4/Gabrb1/Kcnd2/Dgki/Grid2/Lrrtm1/Lrrtm4	22
GO:0019236	BP	GO:0019236	response to pheromone	20/531	107/28564	9.12557696351386e-15	2.78968887774619e-11	2.56572800732058e-11	Vmn1r6/Vmn1r7/Vmn1r8/Vmn1r9/Vmn1r16/Vmn1r17/Vmn1r18/Vmn1r19/Vmn1r22/Vmn1r23/Vmn1r24/Vmn1r26/Vmn1r30/Vmn1r33/Vmn1r35/Vmn1r36/Vmn1r37/Vmn1r38/Vmn1r45/Vmn1r46	20
GO:0008392	MF	GO:0008392	arachidonic acid epoxygenase activity	14/539	48/28171	1.98055306014986e-13	3.43295863759309e-11	2.55039639675438e-11	Cyp2c67/Cyp2c68/Cyp2c40/Cyp2j12/Cyp2j7/Cyp2j11/Cyp2j8/Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32	14
GO:0008391	MF	GO:0008391	arachidonic acid monooxygenase activity	14/539	50/28171	3.71842672206578e-13	4.83395473868552e-11	3.59121738683722e-11	Cyp2c67/Cyp2c68/Cyp2c40/Cyp2j12/Cyp2j7/Cyp2j11/Cyp2j8/Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32	14
