ID	Description	Count	GeneRatio	geneID
GO:0050789	GO:0050789	regulation of biological process	247	247/626	Slc24a4/Serpina3j/Serpina3k/Serpina3k/Serpina3m/Serpina3m/Tcl1b2/Tcl1b1/Tcl1b5/Tcl1b3/Ctla2a/Tpbpa/Ctsj/Ctsq/Pcsk1/Mctp1/Edil3/Htr1a/Rab3c/Hcn1/Fgf10/2610042L04Rik/Gm7324/Ang6/Tlr11/Ang4/Stc1/Gfra2/Pcdh17/Slitrk5/Gpc5/Nalcn/Itgbl1/Fgf14/Mroh2b/C7/Adamts12/Rims2/Zfpm2/Oxr1/Angpt1/Rspo2/Olfr209/Epha6/Htr1f/Rbm11/Chodl/Grik1/Dynlt1c/Rps6ka2/Tcp10a/Fndc1/Pacrg/Fpr3/Fpr-rs4/Fpr-rs3/H2-M11/H2-M9/H2-M1/H2-M2/Esp6/Esp6/Esp4/Kcnh8/Sorcs3/Celf2/Hacd1/Slc39a12/Malrd1/Gpr158/Myo3a/Adamtsl2/Dbh/Col5a1/Olfm1/Ntng2/Arhgap15/Kcnj3/Psmd14/Tbr1/Slc4a10/Scn2a/Scn1a/Scn9a/Pde1a/Zfp804a/Lrrc4c/Trim44/Bdnf/Sema6d/Slc24a3/Cst10/Syndig1/Ptprt/Zfhx4/Sirpb1a/Sirpb1b/Sirpb1c/Gm5150/Bhlhe22/Cyp7b1/Nlgn1/Pex5l/Fat4/Dhx36/Gpr149/Veph1/Slitrk3/Fstl5/Gria2/Glrb/Pdgfc/Tdpoz5/Kcnd3/Pifo/Chil5/Chia1/Chil3/Chil4/Chil6/Kcna3/Kcna2/Kcna10/Ntng1/Olfm3/Plppr4/Tacr3/Bank1/Unc5c/Bmpr1b/Adgrl4/Negr1/Lrrc7/Sdr16c5/Nkain3/Fhl5/Cnr1/Lingo2/Tmem215/Ccl19/Ccl21a/Grin3a/Mup1/Pappa/Astn2/Brinp1/Ptprd/Sh3gl2/Slc24a2/Zfp352/Elavl2/Pde4b/Dab1/Elavl4/Agbl4/Skint8/Skint7/Skint1/Skint4/Skint3/Skint9/Skint2/Skint10/Skint6/Skint5/Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32/Adam22/Grm3/Sema3a/Pclo/Cacna2d1/Hgf/Magi2/Dpp6/Evc/Evc2/Stk32b/Ldb2/Kcnip4/G6pd2/Rbm47/Kctd8/Gabrg1/Gabra2/Gabra4/Gabrb1/Adgrl3/Epha5/Csn2/Odam/Smr3a/Smr2/Calcr/Foxp2/Kcnd2/Grm8/Plxna4/Chrm2/Ptn/Dgki/Kel/Pip/Sval2/Sval1/Sval3/Sva/Tcaf1/Cntnap2/Pde1c/Grid2/Atoh1/Vmn1r35/Vmn1r36/Tacstd2/Ctnna2/Lrrtm1/Reg2/Reg1/Reg3g/Gm20594/Lrrtm4/Vmn1r45/Vmn1r46/Fbln2/Chl1/Cntn6/Cntn4/Crbn/Lrrn1/Grm7/Mug1/Mug2/Clec4b1/Clec4b2/Clec4n/Clec4d/Clec4e/Tas2r113/Lmo3/Pira2/Nlrp2
GO:0050794	GO:0050794	regulation of cellular process	213	213/626	Slc24a4/Tcl1b2/Tcl1b1/Tcl1b5/Tcl1b3/Ctla2a/Tpbpa/Ctsj/Ctsq/Pcsk1/Mctp1/Edil3/Htr1a/Rab3c/Hcn1/Fgf10/2610042L04Rik/Gm7324/Ang6/Tlr11/Ang4/Stc1/Gfra2/Pcdh17/Slitrk5/Gpc5/Nalcn/Itgbl1/Fgf14/Mroh2b/Adamts12/Rims2/Zfpm2/Oxr1/Angpt1/Rspo2/Olfr209/Epha6/Htr1f/Rbm11/Chodl/Grik1/Dynlt1c/Rps6ka2/Tcp10a/Fndc1/Pacrg/Fpr3/Fpr-rs4/Fpr-rs3/H2-M11/H2-M9/H2-M1/H2-M2/Esp6/Esp6/Esp4/Kcnh8/Sorcs3/Celf2/Hacd1/Slc39a12/Malrd1/Gpr158/Myo3a/Adamtsl2/Dbh/Col5a1/Olfm1/Ntng2/Arhgap15/Kcnj3/Tbr1/Slc4a10/Scn2a/Scn1a/Scn9a/Pde1a/Zfp804a/Lrrc4c/Trim44/Bdnf/Sema6d/Syndig1/Ptprt/Zfhx4/Sirpb1a/Sirpb1b/Sirpb1c/Gm5150/Bhlhe22/Cyp7b1/Nlgn1/Pex5l/Fat4/Dhx36/Gpr149/Veph1/Slitrk3/Fstl5/Gria2/Glrb/Pdgfc/Kcnd3/Pifo/Kcna3/Kcna2/Kcna10/Ntng1/Olfm3/Plppr4/Tacr3/Bank1/Unc5c/Bmpr1b/Adgrl4/Negr1/Lrrc7/Sdr16c5/Fhl5/Cnr1/Lingo2/Tmem215/Ccl19/Ccl21a/Grin3a/Mup1/Pappa/Astn2/Brinp1/Ptprd/Sh3gl2/Slc24a2/Zfp352/Elavl2/Pde4b/Dab1/Elavl4/Agbl4/Skint8/Skint7/Skint1/Skint4/Skint3/Skint9/Skint2/Skint10/Skint6/Skint5/Adam22/Grm3/Sema3a/Pclo/Cacna2d1/Hgf/Magi2/Dpp6/Evc/Evc2/Stk32b/Ldb2/Kcnip4/G6pd2/Rbm47/Kctd8/Gabrg1/Gabra2/Gabra4/Gabrb1/Adgrl3/Epha5/Odam/Calcr/Foxp2/Kcnd2/Grm8/Plxna4/Chrm2/Ptn/Dgki/Kel/Pip/Tcaf1/Cntnap2/Pde1c/Grid2/Atoh1/Vmn1r35/Vmn1r36/Tacstd2/Ctnna2/Lrrtm1/Reg2/Reg1/Reg3g/Gm20594/Lrrtm4/Vmn1r45/Vmn1r46/Fbln2/Chl1/Cntn6/Cntn4/Crbn/Lrrn1/Grm7/Clec4b1/Clec4n/Clec4d/Clec4e/Tas2r113/Lmo3/Pira2
GO:0071704	GO:0071704	organic substance metabolic process	180	180/626	Slc24a4/Serpina3j/Serpina3k/Serpina3k/Serpina3m/Serpina3m/Tcl1b2/Tcl1b1/Tcl1b5/Tcl1b3/Ctla2a/Ctsj/Ctsq/Pcsk1/Htr1a/Fgf10/2610042L04Rik/Gm7324/Ang6/Ang4/Gfra2/Adamts12/Acot10/Fbxl7/Rims2/Zfpm2/Oxr1/Angpt1/Epha6/Lipi/Rbm11/Tmprss15/Rps6ka2/Tcp10a/Fndc1/St6gal2/Cyp2c67/Cyp2c68/Cyp2c40/Celf2/Hacd1/Malrd1/Myo3a/Gad2/Hnmt/Tbpl2/Dbh/Sardh/Col5a1/Kynu/Galnt13/Galnt5/Psmd14/Tbr1/Slc4a10/B3galt1/Pde1a/Zfp804a/Trim44/Mettl15/Bdnf/Hao1/Sptlc3/Macrod2/Pcsk2/Slc24a3/Cst10/Ptprt/Zfhx4/Bhlhe22/Cyp7b1/Dhx36/Sis/Gria2/Pdgfc/Tdpoz5/Chil5/Chia1/Chil3/Chil4/Chil6/Col11a1/Plppr4/Dpyd/Ndst3/Ndst4/Ugt8a/Tacr3/Bank1/Pdha2/Bmpr1b/Sdr16c5/Mmp16/Mms22l/Fhl5/Cnr1/Ccl19/Ccl21a/Mup1/Pappa/Aldoart1/Ptprd/Sh3gl2/Zfp352/Cyp2j12/Cyp2j7/Cyp2j11/Cyp2j8/Pde4b/Dab1/Elavl4/Agbl4/Skint8/Skint7/Skint1/Skint4/Skint3/Skint9/Skint2/Skint10/Skint6/Skint5/Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32/Cyp4b1/Adam22/Grm3/Hgf/Magi2/Dpp6/Stk32b/Ldb2/G6pd2/Rbm47/Tecrl/Epha5/Tmprss11a/Tmprss11g/Tmprss11f/Ugt2b37/Csn2/Odam/Galnt17/Calcr/Foxp2/Dgki/Mgam/Moxd2/Prss58/1810009J06Rik/Gm2663/Try4/Try5/Try10/Prss3/Gm5771/Gm10334/Prss1/Prss2/Kel/Pip/Sval2/Sval1/Sval3/Sva/Cntnap2/Atoh1/Gm9008/Reg1/Crbn/Mug1/Mug2/Clec4n/Clec4e/Lmo3
GO:0048856	GO:0048856	anatomical structure development	159	159/626	Slc24a4/Abcb5/Ctla2a/Edil3/Adamts6/Hcn1/Fgf10/2610042L04Rik/Ang6/Ang4/Xkr6/Stc1/Gfra2/Pcdh17/Klhl1/Slitrk5/Fgf14/Spef2/Adamts12/Cdh9/Cdh10/Cdh12/Cdh18/Rims2/Zfpm2/Angpt1/Rspo2/Epha6/Cadm2/Rbm11/Chodl/Grik1/Nox3/Dynlt1c/Rps6ka2/Pacrg/Hacd1/Slc39a12/Nebl/Etl4/Myo3a/Tbpl2/Adamtsl2/Col5a1/Olfm1/Ntng2/Lrp1b/Arhgap15/Tbr1/Slc4a10/Scn2a/Scn9a/Zfp804a/Fsip2/Lrrc4c/Fjx1/Bdnf/Sema6d/Macrod2/Pcsk2/Slc24a3/Cst10/Syndig1/Bhlhe22/Cyp7b1/Nlgn1/Fat4/Dhx36/Gpr149/Slitrk3/Fstl5/Glrb/Pdgfc/Flg2/Flg/Pifo/Kcna2/Ntng1/Col11a1/Olfm3/Plppr4/Ugt8a/Unc5c/Bmpr1b/Negr1/Lrrc7/Mmp16/Cnr1/Spaca1/Lingo2/Tmem215/Ccl19/Ccl21a/Grin3a/Mup1/Astn2/Brinp1/Ptprd/Sh3gl2/Elavl2/Dab1/Elavl4/Agbl4/Skint1/Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32/Zfp980/Adam22/Sema3a/Pclo/Hgf/Magi2/Evc/Ldb2/G6pd2/Rbm47/Grxcr1/Gabra2/Gabra4/Adgrl3/Epha5/Tmprss11f/Csn2/Odam/Csn3/Calcr/Thsd7a/Foxp2/Zfp800/Plxna4/Ptn/Kel/Cntnap2/Vmn1r13/Grid2/Atoh1/Tacstd2/Ctnna2/Lrrtm1/Reg2/Reg1/Reg3g/Lrrtm4/Lrig1/Cntn3/Chl1/Cntn6/Cntn4/Lrrn1/Grm7/Mug1/Clec4d/Clec4e/Pira2
GO:0044238	GO:0044238	primary metabolic process	154	154/626	Serpina3j/Serpina3k/Serpina3k/Serpina3m/Serpina3m/Tcl1b2/Tcl1b1/Tcl1b5/Tcl1b3/Ctla2a/Ctsj/Ctsq/Pcsk1/Htr1a/Fgf10/2610042L04Rik/Gm7324/Ang6/Ang4/Gfra2/Adamts12/Acot10/Fbxl7/Zfpm2/Oxr1/Angpt1/Epha6/Lipi/Rbm11/Tmprss15/Rps6ka2/Tcp10a/Fndc1/St6gal2/Cyp2c67/Cyp2c68/Cyp2c40/Celf2/Hacd1/Malrd1/Myo3a/Gad2/Tbpl2/Sardh/Kynu/Galnt13/Galnt5/Psmd14/Tbr1/Slc4a10/B3galt1/Pde1a/Trim44/Mettl15/Bdnf/Hao1/Sptlc3/Macrod2/Pcsk2/Cst10/Ptprt/Zfhx4/Bhlhe22/Cyp7b1/Dhx36/Sis/Pdgfc/Tdpoz5/Chia1/Chil3/Chil4/Col11a1/Plppr4/Dpyd/Ndst3/Ndst4/Ugt8a/Tacr3/Bank1/Pdha2/Bmpr1b/Sdr16c5/Mmp16/Mms22l/Fhl5/Cnr1/Ccl19/Ccl21a/Mup1/Pappa/Aldoart1/Ptprd/Sh3gl2/Zfp352/Cyp2j12/Cyp2j7/Cyp2j11/Cyp2j8/Dab1/Elavl4/Agbl4/Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32/Adam22/Hgf/Magi2/Dpp6/Stk32b/Ldb2/G6pd2/Rbm47/Tecrl/Epha5/Tmprss11a/Tmprss11g/Tmprss11f/Ugt2b37/Csn2/Odam/Galnt17/Calcr/Foxp2/Dgki/Mgam/Prss58/1810009J06Rik/Gm2663/Try4/Try5/Try10/Prss3/Gm5771/Gm10334/Prss1/Prss2/Kel/Pip/Sval2/Sval1/Sval3/Sva/Atoh1/Gm9008/Reg1/Crbn/Mug1/Mug2/Clec4n/Lmo3
GO:0048518	GO:0048518	positive regulation of biological process	146	146/626	Slc24a4/Tcl1b2/Tcl1b1/Tcl1b5/Tcl1b3/Ctsj/Ctsq/Pcsk1/Edil3/Htr1a/Hcn1/Fgf10/Gm7324/Ang6/Tlr11/Ang4/Stc1/Slitrk5/Gpc5/Nalcn/Fgf14/C7/Rims2/Zfpm2/Angpt1/Rspo2/Chodl/Grik1/Dynlt1c/Rps6ka2/Fndc1/Fpr3/Fpr-rs4/Fpr-rs3/H2-M11/H2-M9/H2-M1/H2-M2/Hacd1/Slc39a12/Malrd1/Myo3a/Dbh/Olfm1/Tbr1/Zfp804a/Trim44/Bdnf/Sema6d/Slc24a3/Syndig1/Sirpb1a/Sirpb1b/Sirpb1c/Gm5150/Cyp7b1/Nlgn1/Pex5l/Dhx36/Slitrk3/Gria2/Pdgfc/Pifo/Chil5/Chia1/Chil3/Chil4/Chil6/Tacr3/Bank1/Unc5c/Bmpr1b/Negr1/Lrrc7/Sdr16c5/Fhl5/Cnr1/Lingo2/Ccl19/Ccl21a/Mup1/Brinp1/Ptprd/Sh3gl2/Slc24a2/Pde4b/Dab1/Elavl4/Agbl4/Skint8/Skint7/Skint1/Skint4/Skint3/Skint9/Skint2/Skint10/Skint6/Skint5/Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32/Adam22/Sema3a/Pclo/Cacna2d1/Hgf/Magi2/Dpp6/Evc/Ldb2/G6pd2/Rbm47/Adgrl3/Epha5/Odam/Calcr/Foxp2/Plxna4/Ptn/Dgki/Pip/Tcaf1/Cntnap2/Grid2/Atoh1/Tacstd2/Lrrtm1/Reg2/Reg1/Reg3g/Lrrtm4/Fbln2/Cntn6/Crbn/Lrrn1/Clec4b1/Clec4b2/Clec4n/Clec4d/Clec4e/Lmo3
GO:0051716	GO:0051716	cellular response to stimulus	144	144/626	Slc24a4/Tpbpa/Ctsj/Ctsq/Htr1a/Hcn1/Fgf10/Tlr11/Ang4/Gfra2/Gpc5/Itgbl1/Fgf14/Mroh2b/Ugt3a1/Ugt3a2/Adamts12/Rims2/Oxr1/Angpt1/Rspo2/Olfr209/Epha6/Htr1f/Rbm11/Grik1/Dynlt1c/Rps6ka2/Fndc1/Pacrg/Fpr3/Fpr-rs4/Fpr-rs3/Esp6/Esp6/Esp4/Cyp2c67/Cyp2c68/Cyp2c40/Slc39a12/Gpr158/Adamtsl2/Dbh/Olfm1/Arhgap15/Psmd14/Scn2a/Pde1a/Trim44/Bdnf/Sema6d/Macrod2/Ptprt/Sirpb1a/Cyp7b1/Nlgn1/Pex5l/Fat4/Dhx36/Gpr149/Veph1/Fstl5/Gria2/Glrb/Pdgfc/Lce1d/Olfm3/Plppr4/Tacr3/Bank1/Unc5c/Bmpr1b/Adgrl4/Mms22l/Cnr1/Ccl19/Ccl21a/Grin3a/Mup1/Pappa/Brinp1/Ptprd/Elavl2/Cyp2j12/Cyp2j7/Cyp2j11/Cyp2j8/Pde4b/Dab1/Skint8/Skint7/Skint1/Skint4/Skint3/Skint9/Skint2/Skint10/Skint6/Skint5/Grm3/Sema3a/Pclo/Cacna2d1/Hgf/Magi2/Evc/Evc2/Stk32b/G6pd2/Rbm47/Kctd8/Gabrg1/Gabra2/Gabra4/Gabrb1/Adgrl3/Epha5/Calcr/Kcnd2/Grm8/Plxna4/Chrm2/Ptn/Dgki/Sva/Cntnap2/Pde1c/Grid2/Atoh1/Vmn1r35/Vmn1r36/Reg1/Reg3g/Vmn1r45/Vmn1r46/Cntn6/Crbn/Grm7/Clec4n/Clec4d/Clec4e/Tas2r113/Lmo3/Pira2
GO:0007154	GO:0007154	cell communication	141	141/626	Slc24a4/Tpbpa/Ctsj/Ctsq/Mctp1/Htr1a/Hcn1/Fgf10/2610042L04Rik/Tlr11/Gfra2/Pcdh17/Slitrk5/Gpc5/Nalcn/Itgbl1/Fgf14/Mroh2b/Adamts12/Rims2/Angpt1/Rspo2/Olfr209/Epha6/Htr1f/Grik1/Dynlt1c/Rps6ka2/Fpr3/Fpr-rs4/Fpr-rs3/Esp6/Esp6/Esp4/Sorcs3/Slc39a12/Gpr158/Adamtsl2/Dbh/Olfm1/Ntng2/Arhgap15/Slc4a10/Scn2a/Scn1a/Scn9a/Scn7a/Pde1a/Lrrc4c/Trim44/Fjx1/Bdnf/Sema6d/Ptprt/Sirpb1a/Cyp7b1/Nlgn1/Pex5l/Fat4/Dhx36/Gpr149/Veph1/Slitrk3/Fstl5/Gria2/Glrb/Pdgfc/Kcna2/Ntng1/Olfm3/Plppr4/Tacr3/Bank1/Unc5c/Bmpr1b/Adgrl4/Cnr1/Ccl19/Ccl21a/Grin3a/Mup1/Pappa/Ptprd/Slc24a2/Pde4b/Dab1/Skint8/Skint7/Skint1/Skint4/Skint3/Skint9/Skint2/Skint10/Skint6/Skint5/Grm3/Sema3a/Pclo/Cacna2d1/Hgf/Magi2/Dpp6/Evc/Evc2/Stk32b/Rbm47/Kctd8/Gabrg1/Gabra2/Gabra4/Gabrb1/Adgrl3/Epha5/Calcr/Kcnd2/Grm8/Plxna4/Chrm2/Ptn/Dgki/Cntnap2/Pde1c/Grid2/Atoh1/Vmn1r35/Vmn1r36/Lrrtm1/Reg1/Reg3g/Vmn1r45/Vmn1r46/Cntn6/Crbn/Grm7/Clec4n/Clec4d/Clec4e/Tas2r113/Lmo3/Pira2
GO:0007275	GO:0007275	multicellular organism development	140	140/626	Slc24a4/Abcb5/Ctla2a/Edil3/Adamts6/Hcn1/Fgf10/2610042L04Rik/Ang6/Ang4/Stc1/Gfra2/Pcdh17/Klhl1/Slitrk5/Fgf14/Spef2/Adamts12/Cdh9/Cdh10/Cdh12/Cdh18/Rims2/Zfpm2/Angpt1/Rspo2/Epha6/Cadm2/Rbm11/Chodl/Grik1/Dynlt1c/Rps6ka2/Hacd1/Slc39a12/Nebl/Etl4/Myo3a/Tbpl2/Adamtsl2/Col5a1/Olfm1/Ntng2/Lrp1b/Tbr1/Slc4a10/Scn2a/Scn9a/Zfp804a/Lrrc4c/Fjx1/Bdnf/Sema6d/Macrod2/Pcsk2/Cst10/Syndig1/Bhlhe22/Cyp7b1/Nlgn1/Fat4/Dhx36/Gpr149/Slitrk3/Fstl5/Glrb/Pdgfc/Flg/Pifo/Kcna2/Ntng1/Col11a1/Olfm3/Plppr4/Ugt8a/Unc5c/Bmpr1b/Negr1/Lrrc7/Mmp16/Cnr1/Lingo2/Tmem215/Ccl19/Ccl21a/Grin3a/Astn2/Brinp1/Ptprd/Sh3gl2/Elavl2/Dab1/Elavl4/Agbl4/Skint1/Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32/Adam22/Sema3a/Pclo/Hgf/Magi2/Evc/Ldb2/G6pd2/Grxcr1/Gabra2/Gabra4/Adgrl3/Epha5/Thsd7a/Foxp2/Zfp800/Plxna4/Ptn/Kel/Cntnap2/Grid2/Atoh1/Tacstd2/Ctnna2/Lrrtm1/Reg2/Reg1/Reg3g/Lrrtm4/Lrig1/Cntn3/Chl1/Cntn6/Cntn4/Lrrn1/Grm7/Mug1/Pira2
GO:0006807	GO:0006807	nitrogen compound metabolic process	135	135/626	Serpina3j/Serpina3k/Serpina3k/Serpina3m/Serpina3m/Tcl1b2/Tcl1b1/Tcl1b5/Tcl1b3/Ctla2a/Ctsj/Ctsq/Pcsk1/Htr1a/Fgf10/2610042L04Rik/Gm7324/Ang6/Ang4/Gfra2/Adamts12/Acot10/Fbxl7/Zfpm2/Oxr1/Angpt1/Epha6/Rbm11/Tmprss15/Rps6ka2/Tcp10a/Fndc1/St6gal2/Celf2/Hacd1/Myo3a/Gad2/Hnmt/Tbpl2/Dbh/Sardh/Kynu/Galnt13/Galnt5/Psmd14/Tbr1/Slc4a10/B3galt1/Pde1a/Trim44/Mettl15/Bdnf/Hao1/Sptlc3/Macrod2/Pcsk2/Cst10/Ptprt/Zfhx4/Bhlhe22/Dhx36/Pdgfc/Tdpoz5/Chil5/Chia1/Chil3/Chil4/Chil6/Col11a1/Dpyd/Ndst3/Ndst4/Ugt8a/Tacr3/Bank1/Pdha2/Bmpr1b/Sdr16c5/Mmp16/Mms22l/Fhl5/Ccl19/Ccl21a/Mup1/Pappa/Aldoart1/Ptprd/Sh3gl2/Zfp352/Dab1/Elavl4/Agbl4/Adam22/Hgf/Magi2/Dpp6/Stk32b/Ldb2/G6pd2/Rbm47/Epha5/Tmprss11a/Tmprss11g/Tmprss11f/Csn2/Odam/Galnt17/Calcr/Foxp2/Moxd2/Prss58/1810009J06Rik/Gm2663/Try4/Try5/Try10/Prss3/Gm5771/Gm10334/Prss1/Prss2/Kel/Pip/Sval2/Sval1/Sval3/Sva/Atoh1/Gm9008/Reg1/Crbn/Mug1/Mug2/Clec4n/Lmo3
