ID	Description	Count	GeneRatio	geneID
GO:0016020	GO:0016020	membrane	265	265/626	Slc24a4/Abcb5/Pcsk1/Mctp1/Htr1a/Rab3c/Hcn1/Fgf10/Slc35f4/Tlr11/Xkr6/Stc1/Gfra2/Pcdh17/Pcdh20/Pcdh9/Slitrk5/Gpc5/Nalcn/Itgbl1/C7/Ugt3a1/Ugt3a2/Cdh9/Cdh10/Cdh12/Cdh18/Rims2/Angpt1/Olfr209/Epha6/Htr1f/Cadm2/Lipi/Chodl/Tmprss15/Ncam2/Grik1/Nox3/Fndc1/Fpr3/Fpr-rs4/Fpr-rs3/H2-M11/H2-M9/H2-M1/H2-M2/Ptchd4/Kcnh8/St6gal2/Cyp2c40/Sorcs3/Sorcs1/Hacd1/Slc39a12/Malrd1/Plxdc2/Gpr158/Gad2/Fam163b/Dbh/Olfm1/Ntng2/Lrp1b/Arhgap15/Galnt13/Kcnj3/Galnt5/Slc4a10/Scn2a/Scn1a/Scn9a/Scn7a/B3galt1/Zfp804a/Lrrc4c/Bdnf/Slc5a12/Ano3/Muc15/Ryr3/Tmco5b/Sema6d/Sptlc3/Pcsk2/Slc24a3/Syndig1/Ptprt/Slc7a12/Sirpb1a/Sirpb1b/Sirpb1c/Gm5150/Cyp7b1/Nlgn1/Pex5l/Fat4/Pcdh10/Gpr149/Veph1/Sis/Slitrk3/Gria2/Glrb/Pdgfc/Lce1d/Flg2/Flg/Kcnd3/Kcna3/Kcna2/Kcna10/Ntng1/Olfm3/Plppr4/Ndst3/Tram1l1/Ndst4/Ugt8a/Tacr3/Unc5c/Bmpr1b/Adgrl4/Negr1/Lrrc7/Sdr16c5/Triqk/Slc26a7/Mmp16/Cngb3/Nkain3/Cnr1/Spaca1/Lingo2/Tmem215/Gm13305/Ccl19/Grin3a/Astn2/Frmd3/Ptprd/Sh3gl2/Slc24a2/Izumo3/Pde4b/Dab1/Elavl4/Slc5a9/Skint8/Skint7/Skint1/Skint4/Skint3/Skint9/Skint2/Skint10/Skint6/Skint5/Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32/Cyp4b1/Adam22/Grm3/Sema3a/Cacna2d1/Magi2/Lhfpl3/Dpp6/Evc/Evc2/Ldb2/Kcnip4/Pcdh7/G6pd2/Kctd8/Gabrg1/Gabra2/Cox7b2/Gabra4/Gabrb1/Adgrl3/Tecrl/Epha5/Tmprss11a/Tmprss11g/Tmprss11f/Ugt2b37/Cabs1/Caln1/Galnt17/Calcr/Thsd7a/Kcnd2/Tmem229a/Grm8/Plxna4/Chrm2/Ptn/Dgki/Mgam/Moxd2/Kel/Pip/Tcaf1/Cntnap2/Vmn1r6/Vmn1r7/Vmn1r8/Vmn1r9/Vmn1r16/Vmn1r17/Vmn1r18/Vmn1r19/Vmn1r22/Vmn1r23/Vmn1r24/Vmn1r26/Vmn1r30/Grid2/Vmn1r33/Vmn1r35/Vmn1r36/Vmn1r37/Vmn1r38/Tacstd2/Ctnna2/Lrrtm1/Reg1/Lrrtm4/Vmn1r45/Vmn1r46/Slc25a26/Lrig1/Cntn3/Chl1/Cntn6/Cntn4/Crbn/Lrrn1/Grm7/Slc6a11/Clec4a4/Clec4b1/Clec4a2/Clec4b2/Clec4n/Clec4d/Clec4e/Vmn2r19/Tas2r113/Pira2/Clcn4/Vmn2r33/Vmn2r35/Vmn2r41/Vmn2r40/Vmn2r37/Vmn2r47/Vmn2r48/Vmn2r49
GO:0071944	GO:0071944	cell periphery	233	233/626	Slc24a4/Serpina3k/Serpina3k/Abcb5/Adamts6/Htr1a/Rab3c/Hcn1/Fgf10/Ang6/Tlr11/Ang4/Xkr6/Stc1/Gfra2/Pcdh17/Pcdh20/Pcdh9/Gpc5/Nalcn/Itgbl1/C7/Adamts12/Cdh9/Cdh10/Cdh12/Cdh18/Rims2/Angpt1/Epha6/Htr1f/Cadm2/Lipi/Ncam2/Grik1/Nox3/Fndc1/Fpr3/Fpr-rs4/Fpr-rs3/H2-M11/H2-M9/H2-M1/H2-M2/Kcnh8/Sorcs3/Slc39a12/Plxdc2/Gpr158/Gad2/Adamtsl2/Col5a1/Olfm1/Ntng2/Lrp1b/Kcnj3/Slc4a10/Scn2a/Scn1a/Scn9a/Scn7a/Zfp804a/Lrrc4c/Slc5a12/Ano3/Ryr3/Sema6d/Slc24a3/Syndig1/Ptprt/Slc7a12/Sirpb1a/Sirpb1b/Sirpb1c/Gm5150/Nlgn1/Fat4/Pcdh10/Gpr149/Veph1/Slitrk3/Gria2/Glrb/Pdgfc/Lce1d/Flg2/Flg/Kcnd3/Kcna3/Kcna2/Kcna10/Ntng1/Col11a1/Olfm3/Plppr4/Tacr3/Unc5c/Bmpr1b/Adgrl4/Negr1/Lrrc7/Sdr16c5/Slc26a7/Mmp16/Cngb3/Nkain3/Cnr1/Lingo2/Ccl19/Grin3a/Ptprd/Adamtsl1/Slc24a2/Izumo3/Pde4b/Slc5a9/Skint8/Skint7/Skint1/Skint4/Skint3/Skint9/Skint2/Skint10/Skint6/Skint5/Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32/Adam22/Grm3/Sema3a/Pclo/Cacna2d1/Magi2/Lhfpl3/Dpp6/Evc/Evc2/Ldb2/Kcnip4/Pcdh7/G6pd2/Kctd8/Gabrg1/Gabra2/Gabra4/Gabrb1/Adgrl3/Epha5/Tmprss11a/Tmprss11g/Tmprss11f/Odam/Caln1/Calcr/Thsd7a/Kcnd2/Grm8/Plxna4/Chrm2/Ptn/Dgki/Mgam/Try4/Try10/Prss3/Gm5771/Prss1/Prss2/Kel/Pip/Tcaf1/Cntnap2/Vmn1r6/Vmn1r7/Vmn1r8/Vmn1r9/Vmn1r16/Vmn1r17/Vmn1r18/Vmn1r19/Vmn1r22/Vmn1r23/Vmn1r24/Vmn1r26/Vmn1r30/Grid2/Vmn1r33/Vmn1r35/Vmn1r36/Vmn1r37/Vmn1r38/Tacstd2/Ctnna2/Lrrtm1/Reg2/Reg1/Reg3g/Lrrtm4/Vmn1r45/Vmn1r46/Fbln2/Lrig1/Cntn3/Chl1/Cntn6/Cntn4/Lrrn1/Grm7/Slc6a11/Clec4a4/Clec4b1/Clec4a2/Clec4b2/Clec4n/Clec4d/Clec4e/Vmn2r19/Pira2/Clcn4/Vmn2r33/Vmn2r35/Vmn2r41/Vmn2r40/Vmn2r37/Vmn2r47/Vmn2r48/Vmn2r49
GO:0005622	GO:0005622	intracellular anatomical structure	209	209/626	Tc2n/Slc24a4/Ofcc1/Ctsj/Ctsq/Pcsk1/Mctp1/Rab3c/Hcn1/Fgf10/Gm7324/Ang6/Ang4/Stc1/Klhl1/Tpm3-rs7/Gpc5/Fgf14/Mroh2b/Ugt3a1/Ugt3a2/Capsl/Spef2/Acot10/Fbxl7/Rims2/Zfpm2/Oxr1/Epha6/Cadm2/Rbm11/Chodl/Ncam2/Grik1/Nox3/Dynlt1c/Rps6ka2/Tcp10a/Fndc1/Pacrg/Fpr3/Fpr-rs4/Fpr-rs3/H2-M11/H2-M9/H2-M1/H2-M2/Crisp3/Crisp1/St6gal2/Cyp2c67/Cyp2c68/Cyp2c40/Sorcs1/Celf2/Hacd1/Slc39a12/Malrd1/Nebl/Etl4/Myo3a/Gad2/Hnmt/Tbpl2/Dbh/Sardh/Olfm1/Kynu/Arhgap15/Galnt13/Galnt5/Psmd14/Tbr1/Scn1a/B3galt1/Pde1a/Zfp804a/Fsip2/Trim44/Mettl15/Bdnf/Slc5a12/Ryr3/Sema6d/Hao1/Sptlc3/Macrod2/Pcsk2/Cst10/Syndig1/Zfhx4/Ralyl/Slc7a12/Bhlhe22/Cyp7b1/Naaladl2/Nlgn1/Pex5l/Pabpc4l/Dhx36/Gria2/Glrb/Pdgfc/Lce1d/Kprp/Flg2/Flg/Tdpoz5/Kcnd3/Pifo/Chia1/Chil3/Chil4/Kcna2/Olfm3/Dpyd/Ndst3/Tram1l1/Ndst4/Ugt8a/Tacr3/Bank1/Pdha2/Adgrl4/Lrrc7/Sdr16c5/Sdr16c6/Fam110b/Triqk/Slc26a7/Mms22l/Fhl5/Cnr1/Spaca1/1700009N14Rik/Mup1/Astn2/Brinp1/Aldoart1/Frmd3/Cntln/Sh3gl2/Cyp2j12/Cyp2j7/Cyp2j11/Cyp2j8/Pde4b/Dab1/Elavl4/Agbl4/Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32/Cyp4b1/Zfp804b/Pclo/Cacna2d1/Magi2/Evc/Evc2/Ldb2/Kcnip4/G6pd2/Rbm47/Grxcr1/Gabra2/Cox7b2/Gabrb1/Tecrl/Epha5/Ugt2b37/Odam/Cabs1/Gm6351/Gm6205/Gm6367/Gm16513/E330014E10Rik/Caln1/Galnt17/Calcr/Foxp2/Kcnd2/Zfp800/Ptn/Dgki/Moxd2/Kel/Pip/Cntnap2/Pde1c/Atoh1/Tacstd2/Ctnna2/Lrrtm1/Reg1/Reg3g/Slc25a26/Crbn/Grm7/Slc6a11/Clec4e/Lmo3/Nlrp2/Clcn4
GO:0043226	GO:0043226	organelle	195	195/626	Tc2n/Slc24a4/Ofcc1/Ctsj/Ctsq/Pcsk1/Mctp1/Rab3c/Fgf10/Gm7324/Ang6/Ang4/Stc1/Klhl1/Tpm3-rs7/Gpc5/Fgf14/Mroh2b/Ugt3a1/Ugt3a2/Spef2/Cdh10/Acot10/Fbxl7/Rims2/Zfpm2/Oxr1/Epha6/Rbm11/Chodl/Ncam2/Grik1/Dynlt1c/Rps6ka2/Tcp10a/Fndc1/Pacrg/H2-M11/H2-M9/H2-M1/H2-M2/Crisp3/Crisp1/St6gal2/Cyp2c67/Cyp2c68/Cyp2c40/Sorcs3/Sorcs1/Celf2/Hacd1/Malrd1/Nebl/Etl4/Myo3a/Gad2/Hnmt/Tbpl2/Dbh/Sardh/Olfm1/Kynu/Galnt13/Galnt5/Tbr1/Scn1a/B3galt1/Pde1a/Zfp804a/Fsip2/Lrrc4c/Mettl15/Bdnf/Slc5a12/Ryr3/Sema6d/Hao1/Sptlc3/Macrod2/Pcsk2/Cst10/Syndig1/Ptprt/Zfhx4/Ralyl/Bhlhe22/Cyp7b1/Naaladl2/Nlgn1/Pex5l/Pabpc4l/Dhx36/Slitrk3/Gria2/Glrb/Pdgfc/Tdpoz5/Kcnd3/Pifo/Chil3/Kcna2/Olfm3/Plppr4/Ndst3/Tram1l1/Ndst4/Ugt8a/Tacr3/Pdha2/Adgrl4/Lrrc7/Sdr16c5/Sdr16c6/Fam110b/Triqk/Slc26a7/Cngb3/Mms22l/Fhl5/Cnr1/Spaca1/1700009N14Rik/Grin3a/Mup1/Astn2/Aldoart1/Frmd3/Cntln/Sh3gl2/Cyp2j12/Cyp2j7/Cyp2j11/Cyp2j8/Pde4b/Dab1/Elavl4/Agbl4/Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32/Cyp4b1/Zfp804b/Adam22/Grm3/Pclo/Cacna2d1/Magi2/Evc/Evc2/Ldb2/Kcnip4/G6pd2/Rbm47/Grxcr1/Gabra2/Cox7b2/Gabra4/Gabrb1/Tecrl/Epha5/Ugt2b37/Odam/Cabs1/Caln1/Galnt17/Calcr/Foxp2/Kcnd2/Zfp800/Ptn/Dgki/Moxd2/Kel/Pip/Cntnap2/Pde1c/Grid2/Atoh1/Tacstd2/Ctnna2/Lrrtm1/Reg1/Reg3g/Lrrtm4/Slc25a26/Crbn/Grm7/Clec4e/Lmo3/Nlrp2/Clcn4
GO:0005737	GO:0005737	cytoplasm	184	184/626	Slc24a4/Ofcc1/Ctsj/Ctsq/Pcsk1/Mctp1/Rab3c/Hcn1/Fgf10/Ang4/Stc1/Klhl1/Gpc5/Fgf14/Mroh2b/Ugt3a1/Ugt3a2/Capsl/Spef2/Acot10/Fbxl7/Rims2/Zfpm2/Oxr1/Cadm2/Chodl/Nox3/Dynlt1c/Rps6ka2/Fndc1/Pacrg/Fpr3/Fpr-rs4/Fpr-rs3/H2-M11/H2-M9/H2-M1/H2-M2/Crisp3/Crisp1/St6gal2/Cyp2c67/Cyp2c68/Cyp2c40/Sorcs1/Celf2/Hacd1/Slc39a12/Malrd1/Nebl/Etl4/Myo3a/Gad2/Hnmt/Tbpl2/Dbh/Sardh/Olfm1/Kynu/Arhgap15/Galnt13/Galnt5/Psmd14/Scn1a/B3galt1/Pde1a/Zfp804a/Fsip2/Trim44/Mettl15/Bdnf/Ryr3/Sema6d/Hao1/Sptlc3/Pcsk2/Cst10/Syndig1/Slc7a12/Cyp7b1/Nlgn1/Pex5l/Pabpc4l/Dhx36/Gria2/Glrb/Pdgfc/Lce1d/Kprp/Flg2/Flg/Tdpoz5/Kcnd3/Pifo/Chia1/Chil3/Chil4/Kcna2/Olfm3/Dpyd/Ndst3/Tram1l1/Ndst4/Ugt8a/Tacr3/Bank1/Pdha2/Adgrl4/Lrrc7/Sdr16c5/Fam110b/Triqk/Slc26a7/Mms22l/Fhl5/Cnr1/Spaca1/1700009N14Rik/Mup1/Astn2/Brinp1/Aldoart1/Cntln/Sh3gl2/Cyp2j12/Cyp2j7/Cyp2j11/Cyp2j8/Pde4b/Dab1/Elavl4/Agbl4/Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32/Cyp4b1/Pclo/Cacna2d1/Magi2/Evc/Evc2/Kcnip4/G6pd2/Rbm47/Grxcr1/Gabra2/Cox7b2/Gabrb1/Tecrl/Epha5/Ugt2b37/Odam/Cabs1/Gm6351/Gm6205/Gm6367/Gm16513/E330014E10Rik/Caln1/Galnt17/Calcr/Kcnd2/Ptn/Dgki/Moxd2/Kel/Cntnap2/Pde1c/Ctnna2/Lrrtm1/Reg1/Reg3g/Slc25a26/Crbn/Grm7/Slc6a11/Clec4e/Lmo3/Nlrp2/Clcn4
GO:0005576	GO:0005576	extracellular region	121	121/626	Serpina3j/Serpina3k/Serpina3k/Serpina3m/Serpina3m/Ctla2a/Tpbpa/Ctsj/Ctsq/Pcsk1/Edil3/Fgf10/Ang6/Ang4/Stc1/Gpc5/Itgbl1/Fgf14/C7/Adamts12/Angpt1/Rspo2/Lipi/H2-M11/H2-M9/H2-M1/H2-M2/Esp36/Crisp3/Crisp1/Esp8/Gm44501/Gm44501/Esp4/Esp3/Esp1/Nxph2/Adamtsl2/Dbh/Col5a1/Olfm1/Fjx1/Bdnf/Sema6d/Pcsk2/Cst10/Nlgn1/Fstl5/Gria2/Pdgfc/Chil5/Chia1/Chil3/Chil4/Chil6/Col11a1/Olfm3/Lingo2/Ccl19/Ccl21a/Mup1/Mup10/Mup12/Mup13/Mup14/Mup15/Mup16/Mup17/Pappa/Adamtsl1/Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Sema3a/Hgf/Tmprss11a/Tmprss11g/Tmprss11f/Csn1s1/Csn2/Csn1s2a/Csn1s2b/Odam/Csn3/Smr3a/Smr2/Nxph1/Thsd7a/Ptn/Moxd2/Prss58/1810009J06Rik/Gm2663/Try4/Try5/Try10/Prss3/Gm5771/Gm10334/Prss1/Prss2/Pip/Sval2/Sval1/Sval3/Sva/Tacstd2/Lrrtm1/Reg2/Reg1/Reg3g/Lrrtm4/Fbln2/Lrig1/Chl1/Cntn4/Lrrn1/Gm7298/Mug1/Mug2
GO:0005615	GO:0005615	extracellular space	96	96/626	Serpina3j/Serpina3k/Serpina3k/Serpina3m/Serpina3m/Ctsj/Ctsq/Pcsk1/Fgf10/Ang6/Ang4/Stc1/C7/Angpt1/Lipi/H2-M11/H2-M9/H2-M1/H2-M2/Esp36/Crisp3/Crisp1/Esp8/Gm44501/Gm44501/Esp4/Esp3/Esp1/Dbh/Col5a1/Olfm1/Fjx1/Bdnf/Sema6d/Pcsk2/Cst10/Pdgfc/Chil5/Chia1/Chil3/Chil4/Chil6/Col11a1/Olfm3/Lingo2/Ccl19/Ccl21a/Mup1/Mup10/Mup12/Mup13/Mup14/Mup15/Mup16/Mup17/Pappa/Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Sema3a/Hgf/Csn1s1/Csn2/Csn1s2a/Csn1s2b/Odam/Csn3/Ptn/Moxd2/1810009J06Rik/Gm2663/Try4/Try5/Try10/Prss3/Gm5771/Gm10334/Prss1/Prss2/Pip/Sval2/Sval1/Sval3/Sva/Tacstd2/Lrrtm1/Reg2/Reg1/Reg3g/Lrrtm4/Lrig1/Lrrn1/Gm7298/Mug1/Mug2
GO:0042995	GO:0042995	cell projection	94	94/626	Slc24a4/Ctla2a/Pcsk1/Htr1a/Hcn1/Pcdh9/Klhl1/Mroh2b/Spef2/Cdh9/Rims2/Angpt1/Epha6/Htr1f/Cadm2/Ncam2/Grik1/Dynlt1c/Pacrg/Myo3a/Gad2/Hnmt/Dbh/Olfm1/Ntng2/Slc4a10/Scn2a/Scn1a/Scn9a/Scn7a/Pde1a/Zfp804a/Fsip2/Bdnf/Pcsk2/Syndig1/Nlgn1/Pex5l/Dhx36/Gpr149/Gria2/Glrb/Kcnd3/Kcna3/Kcna2/Tacr3/Unc5c/Bmpr1b/Negr1/Lrrc7/Cngb3/Cnr1/Grin3a/Aldoart1/Sh3gl2/Pde4b/Dab1/Elavl4/Agbl4/Adam22/Grm3/Sema3a/Pclo/Magi2/Evc/Evc2/Kcnip4/Grxcr1/Kctd8/Gabrg1/Gabra2/Gabra4/Gabrb1/Adgrl3/Epha5/Cabs1/Calcr/Thsd7a/Kcnd2/Grm8/Chrm2/Dgki/Cntnap2/Pde1c/Grid2/Ctnna2/Lrrtm1/Reg1/Chl1/Cntn6/Grm7/Slc6a11/Clec4e/Clcn4
GO:0012505	GO:0012505	endomembrane system	83	83/626	Ofcc1/Pcsk1/Mctp1/Rab3c/Ang4/Gpc5/Mroh2b/Ugt3a1/Ugt3a2/Spef2/H2-M11/H2-M9/H2-M1/H2-M2/Crisp1/St6gal2/Cyp2c40/Sorcs1/Hacd1/Malrd1/Gad2/Dbh/Olfm1/Galnt13/Galnt5/B3galt1/Bdnf/Ryr3/Sema6d/Sptlc3/Pcsk2/Syndig1/Cyp7b1/Nlgn1/Gria2/Glrb/Kcnd3/Pifo/Chil3/Kcna2/Olfm3/Ndst3/Tram1l1/Ndst4/Ugt8a/Sdr16c5/Triqk/Slc26a7/Spaca1/Astn2/Sh3gl2/Pde4b/Elavl4/Agbl4/Cyp4a12a/Cyp4a12b/Cyp4a14/Cyp4a10/Cyp4b1/Pclo/Cacna2d1/Magi2/Gabra2/Gabrb1/Tecrl/Epha5/Ugt2b37/Cabs1/Caln1/Galnt17/Calcr/Kcnd2/Ptn/Dgki/Moxd2/Kel/Cntnap2/Lrrtm1/Reg1/Reg3g/Grm7/Nlrp2/Clcn4
GO:0030054	GO:0030054	cell junction	78	78/626	Pcsk1/Mctp1/Htr1a/Rab3c/Hcn1/Pcdh17/Pcdh9/Itgbl1/Cdh9/Cdh10/Cdh12/Cdh18/Rims2/Cadm2/Grik1/Fndc1/Sorcs3/Gad2/Dbh/Olfm1/Ntng2/Kcnj3/Slc4a10/Scn2a/Scn1a/Zfp804a/Lrrc4c/Bdnf/Syndig1/Ptprt/Nlgn1/Slitrk3/Gria2/Glrb/Kcnd3/Kcna3/Kcna2/Ntng1/Olfm3/Plppr4/Unc5c/Lrrc7/Cnr1/Grin3a/Ptprd/Sh3gl2/Elavl2/Pde4b/Dab1/Elavl4/Adam22/Grm3/Sema3a/Pclo/Cacna2d1/Magi2/Kctd8/Gabrg1/Gabra2/Gabra4/Gabrb1/Adgrl3/Epha5/Kcnd2/Grm8/Plxna4/Chrm2/Ptn/Dgki/Cntnap2/Grid2/Ctnna2/Lrrtm1/Lrrtm4/Cntn6/Grm7/Slc6a11/Clcn4
