ID	Description	Count	GeneRatio	geneID
GO:0005515	GO:0005515	protein binding	202	202/626	Slc24a4/Serpina3k/Serpina3k/Tcl1b2/Tcl1b1/Tcl1b5/Tcl1b3/Ctla2b/Pcsk1/Htr1a/Rab3c/Hcn1/Fgf10/2610042L04Rik/Ang6/Tlr11/Ang4/Stc1/Pcdh9/Klhl1/Tpm3-rs7/Nalcn/Itgbl1/Fgf14/Mroh2b/Spef2/Cdh9/Cdh10/Cdh12/Cdh18/Fbxl7/Rims2/Zfpm2/Angpt1/Rspo2/Cadm2/Rbm11/Chodl/Ncam2/Grik1/Nox3/Dynlt1c/Rps6ka2/Tcp10a/Pacrg/Fpr3/Fpr-rs4/Fpr-rs3/H2-M11/H2-M9/H2-M1/H2-M2/Esp36/Esp8/Gm44501/Gm44501/Esp6/Esp6/Esp4/Esp3/Esp1/Sorcs3/Sorcs1/Hacd1/Malrd1/Nebl/Etl4/Gpr158/Myo3a/Nxph2/Tbpl2/Adamtsl2/Col5a1/Olfm1/Ntng2/Lrp1b/Kynu/Psmd14/Tbr1/Scn2a/Scn7a/Pde1a/Fsip2/Lrrc4c/Bdnf/Ano3/Ryr3/Sema6d/Syndig1/Ptprt/Ralyl/Bhlhe22/Nlgn1/Pex5l/Fat4/Dhx36/Slitrk3/Gria2/Glrb/Pdgfc/Lce1a2/Lce1e/Lce1f/Lce1g/Lce1l/Tdpoz5/Kcnd3/Pifo/Chil5/Chia1/Chil3/Chil4/Chil6/Kcna2/Ntng1/Olfm3/Plppr4/Dpyd/Bank1/Unc5c/Bmpr1b/Sdr16c5/Cngb3/Fhl5/Cnr1/1700009N14Rik/Ccl27b/Ccl19/Ccl21a/Grin3a/Mup1/Astn2/Frmd3/Ptprd/Cntln/Sh3gl2/Izumo3/Pde4b/Dab1/Agbl4/Skint8/Skint7/Skint1/Skint4/Skint3/Skint9/Skint2/Skint10/Skint6/Skint5/Adam22/Grm3/Sema3a/Pclo/Cacna2d1/Hgf/Magi2/Dpp6/Evc/Evc2/Ldb2/Pcdh7/G6pd2/Rbm47/Gabrg1/Gabra2/Gabrb1/Adgrl3/Epha5/Csn1s2a/Csn1s2b/Nxph1/Foxp2/Kcnd2/Plxna4/Chrm2/Ptn/Dgki/Pip/Tcaf1/Cntnap2/Pde1c/Grid2/Atoh1/Ctnna2/Reg1/Gm20594/Lrrtm4/Fbln2/Chl1/Cntn6/Crbn/Grm7/Gm7298/Mug1/Mug2/Clec4n/Clec4d/Clec4e/Lmo3/Pira2/Nlrp2
GO:0043167	GO:0043167	ion binding	101	101/626	Abcb5/Mctp1/Edil3/Htr1a/Rab3c/Hcn1/Ang6/Ang4/Pcdh20/Capsl/Adamts12/Cdh9/Cdh10/Cdh12/Cdh18/Rims2/Zfpm2/Epha6/Htr1f/Grik1/Rps6ka2/Cyp2c40/Nebl/Myo3a/Gad2/Dbh/Sardh/Lrp1b/Kynu/Galnt13/Galnt5/Psmd14/Scn2a/Scn1a/Scn9a/Pde1a/Zfp804a/Trim44/Ryr3/Hao1/Sptlc3/Zfhx4/Cyp7b1/Egfem1/Fat4/Dhx36/Zbbx/Fstl5/Glrb/Flg2/Kcnd3/Col11a1/Dpyd/Bmpr1b/Adgrl4/Mmp16/Cngb3/Fhl5/Grin3a/Pappa/Astn2/Pde4b/Agbl4/Cyp4a12a/Cyp4a12b/Cyp4a14/Cyp4a10/Cyp4b1/Pclo/Cacna2d1/Stk32b/Kcnip4/Adgrl3/Epha5/Cabs1/Caln1/Galnt17/Foxp2/Kcnd2/Zfp800/Ptn/Dgki/Moxd2/Try4/Try5/Try10/Prss3/Prss1/Prss2/Kel/Pde1c/Fbln2/Crbn/Grm7/Clec4a4/Clec4a2/Clec4n/Clec4d/Clec4e/Lmo3/Clcn4
GO:0038023	GO:0038023	signaling receptor activity	81	81/626	Htr1a/Tlr11/Gfra2/Olfr209/Epha6/Htr1f/Grik1/Fpr3/Fpr-rs4/Fpr-rs3/Gpr158/Ptprt/Nlgn1/Gpr149/Gria2/Glrb/Tacr3/Unc5c/Bmpr1b/Adgrl4/Cnr1/Gm13305/Grin3a/Mup1/Grm3/Gabrg1/Gabra2/Gabra4/Gabrb1/Adgrl3/Epha5/Calcr/Grm8/Plxna4/Chrm2/Vmn1r6/Vmn1r7/Vmn1r8/Vmn1r9/Vmn1r10/Vmn1r11/Vmn1r13/Vmn1r14/Vmn1r15/Vmn1r16/Vmn1r17/Vmn1r18/Vmn1r19/Vmn1r22/Vmn1r23/Vmn1r24/Vmn1r25/Vmn1r26/Vmn1r29/Vmn1r30/Grid2/Vmn1r33/Vmn1r35/Vmn1r36/Vmn1r37/Vmn1r38/Reg2/Reg1/Reg3g/Vmn1r45/Vmn1r46/Grm7/Clec4n/Clec4d/Clec4e/Vmn2r19/Tas2r113/Pira2/Vmn2r33/Vmn2r35/Vmn2r41/Vmn2r40/Vmn2r37/Vmn2r47/Vmn2r48/Vmn2r49
GO:1901363	GO:1901363	heterocyclic compound binding	63	63/626	Abcb5/Htr1a/Rab3c/Hcn1/Gm7324/Ang4/Zfpm2/Epha6/Htr1f/Rbm11/Grik1/Rps6ka2/Kcnh8/Cyp2c67/Cyp2c68/Cyp2c40/Celf2/Myo3a/Gad2/Tbpl2/Dbh/Sardh/Kynu/Tbr1/Hao1/Sptlc3/Gm14295/Zfhx4/Ralyl/Bhlhe22/Cyp7b1/Pabpc4l/Dhx36/Dpyd/Bmpr1b/Cngb3/Mms22l/Zfp352/Elavl2/Cyp2j12/Cyp2j7/Cyp2j11/Cyp2j8/Pde4b/Elavl4/Cyp4a12a/Cyp4a12b/Cyp4a14/Cyp4a10/Cyp4b1/Zfp980/Zfp987/Zfp600/Stk32b/G6pd2/Rbm47/Epha5/Foxp2/Zfp800/Dgki/Pde1c/Atoh1/Clcn4
GO:0097159	GO:0097159	organic cyclic compound binding	62	62/626	Abcb5/Htr1a/Rab3c/Hcn1/Gm7324/Ang4/Zfpm2/Epha6/Htr1f/Rbm11/Rps6ka2/Kcnh8/Cyp2c67/Cyp2c68/Cyp2c40/Celf2/Myo3a/Gad2/Tbpl2/Dbh/Sardh/Kynu/Tbr1/Hao1/Sptlc3/Gm14295/Zfhx4/Ralyl/Bhlhe22/Cyp7b1/Pabpc4l/Dhx36/Dpyd/Bmpr1b/Cngb3/Mms22l/Zfp352/Elavl2/Cyp2j12/Cyp2j7/Cyp2j11/Cyp2j8/Pde4b/Elavl4/Cyp4a12a/Cyp4a12b/Cyp4a14/Cyp4a10/Cyp4b1/Zfp980/Zfp987/Zfp600/Stk32b/G6pd2/Rbm47/Epha5/Foxp2/Zfp800/Dgki/Pde1c/Atoh1/Clcn4
GO:0016787	GO:0016787	hydrolase activity	58	58/626	Ctsj/Ctsq/Pcsk1/Adamts6/Rab3c/Ang6/Ang4/Adamts12/Acot10/Lipi/Tmprss15/Kynu/Psmd14/Pde1a/Macrod2/Pcsk2/Ptprt/Dhx36/Sis/Chil5/Chia1/Chil3/Chil6/Plppr4/Ndst3/Ndst4/Mmp16/1700009N14Rik/Pappa/Ptprd/Pde4b/Agbl4/Adam22/Hgf/Dpp6/Tmprss11a/Tmprss11g/Tmprss11f/Mgam/Mgam2-ps/Prss58/1810009J06Rik/Gm2663/Try4/Try5/Try10/Prss3/Gm5771/Gm10334/Prss1/Prss2/Kel/Pip/Sval2/Sval1/Sval3/Sva/Pde1c
GO:0140096	GO:0140096	catalytic activity, acting on a protein	49	49/626	Ctsj/Ctsq/Pcsk1/Adamts6/Adamts12/Epha6/Tmprss15/Rps6ka2/Myo3a/Galnt13/Galnt5/Psmd14/Trim44/Pcsk2/Ptprt/Bmpr1b/Mmp16/Mup1/Pappa/Ptprd/Agbl4/Adam22/Hgf/Dpp6/Stk32b/Grxcr1/Epha5/Tmprss11a/Tmprss11g/Tmprss11f/Galnt17/Prss58/1810009J06Rik/Gm2663/Try4/Try5/Try10/Prss3/Gm5771/Gm10334/Prss1/Prss2/Kel/Pip/Sval2/Sval1/Sval3/Sva/Gm9008
GO:0022857	GO:0022857	transmembrane transporter activity	43	43/626	Slc24a4/Abcb5/Hcn1/Slc35f4/Nalcn/Grik1/Kcnh8/Slc39a12/Kcnj3/Slc4a10/Scn2a/Scn1a/Scn9a/Scn7a/Slc5a12/Ano3/Ryr3/Slc24a3/Slc7a12/Pex5l/Gria2/Glrb/Kcnd3/Kcna3/Kcna2/Kcna10/Slc26a7/Cngb3/Grin3a/Slc24a2/Slc5a9/Cacna2d1/Kcnip4/Gabrg1/Gabra2/Gabra4/Gabrb1/Kcnd2/Grid2/Slc25a26/Grm7/Slc6a11/Clcn4
GO:0036094	GO:0036094	small molecule binding	36	36/626	Abcb5/Rab3c/Hcn1/Epha6/Grik1/Rps6ka2/Myo3a/Gad2/Dbh/Sardh/Kynu/Hao1/Sptlc3/Dhx36/Glrb/Col11a1/Dpyd/Bmpr1b/Cngb3/Grin3a/Mup17/Astn2/Pde4b/Cyp4a14/Stk32b/G6pd2/Epha5/Ptn/Dgki/Pde1c/Grm7/Clec4a4/Clec4a2/Clec4n/Clec4d/Clcn4
GO:0097367	GO:0097367	carbohydrate derivative binding	36	36/626	Abcb5/Rab3c/Hcn1/Fgf10/Ang6/Ang4/Fgf14/Rspo2/Epha6/Lipi/Rps6ka2/Myo3a/Col5a1/Hao1/Dhx36/Chil5/Chia1/Chil3/Chil4/Chil6/Col11a1/Bmpr1b/Cngb3/Pde4b/Stk32b/Epha5/Ptn/Dgki/Pde1c/Reg2/Reg1/Reg3g/Lrrtm4/Clec4a4/Clec4e/Clcn4
