chr	start	end_x	strand	name	end_y	b1	b2
chr12	101645443	101718523	-1	Tc2n	101718523		
chr12	102128733	102267091	1	Slc24a4	102267091		
chr12	104314553	104320725	1	Serpina3j	104320725		
chr12	104338486	104346144	1	Serpina3k	104346144		
chr12	104338486	104346144	1	Serpina3k	104394257		
chr12	104338486	104394257	1	Serpina3m	104346144		
chr12	104338486	104394257	1	Serpina3m	104394257		
chr12	105146014	105155225	1	Tcl1b2	105155225		
chr12	105159690	105166625	1	Tcl1b1	105166625		
chr12	105176344	105181145	1	Tcl1b5	105181145		
chr12	105191043	105195612	1	Tcl1b3	105195612		
chr12	118867824	118966421	-1	Abcb5	118966421		
chr12	119945822	120021246	1	Tmem196	120021246		
chr13	40001882	40361450	-1	Ofcc1	40361450		
chr13	50245181	50250308	-1	Gm906	50250308		
chr13	60853230	60935590	-1		60935590		
chr13	60895350	60897447	-1	Ctla2b	60936571		
chr13	60895350	60936571	-1		60936571		
chr13	60901188	60904880	-1	Tpbpb	60904880		
chr13	60934155	60936625	-1	Ctla2a	60936625		
chr13	60938492	60941984	-1	Tpbpa	60941984		
chr13	61000179	61005959	-1	Ctsj	61005959		
chr13	61035024	61040631	-1	Ctsq	61040631		
chr13	66418114	66441118	-1	2410141K09Rik	66441118		
chr13	75089826	75134861	1	Pcsk1	75134861		
chr13	76201708	76305072	-1	Fam81b	76305072		
chr13	76384535	77031810	1	Mctp1	77031810		
chr13	88821472	89323223	1	Edil3	89323223		
chr13	104287835	104496695	1	Adamts6	104496695		
chr13	105443639	105448122	1	Htr1a	105448122		
chr13	110054187	110280996	-1	Rab3c	110280996		
chr13	117602320	117987418	1	Hcn1	117987418		
chr13	118669791	118792115	1	Fgf10	118792115		
chr13	120026439	120027011	-1	Gm21370	120027011		
chr13	120034605	120052194	-1	Gm21188	120052194		
chr13	120300392	120308779	1	BC147527	120308779		
chr13	120316878	120318178	1	Tcstv3	120318178		
chr14	3030002	3038762	1	Gm2888	3038762		
chr14	3049285	3076840	1	Gm2897	3076840		
chr14	3133997	3141609	1	Gm10340	3141609		
chr14	3188255	3196681	1	Gm5795	3196681		
chr14	3395093	3403525	1	Gm10413	3403525		
chr14	3412614	3433800	1	Gm10409	3433800		
chr14	3428103	3594220	1	Gm3005	3594220		
chr14	3449379	3459287	1	Gm10408	3459287		
chr14	3810074	3966518	1	Gm3002	3966518		
chr14	3846245	3856085	1	Gm3033	3856085		
chr14	3884172	3921640	1	Gm2916	3921640		
chr14	3931756	3940185	1	Gm3029	3940185		
chr14	3963547	3970207	1	Gm3095	3970207		
chr14	3998394	4007006	1	Gm3099	4007006		
chr14	4023941	4041370	1	Gm5796	4041370		
chr14	4084120	4099306	1	Gm3115	4099306		
chr14	4110526	4132784	1	Gm8108	4132784		
chr14	4165030	4173503	1	Gm3127	4173503		
chr14	4182576	4204895	1	Gm2974	4204895		
chr14	4249631	4258006	1	Gm3138	4258006		
chr14	4317283	4325721	1	Gm3149	4325721		
chr14	4334763	4354688	1	2610042L04Rik	4354688		
chr14	4397526	4406347	1	Gm3159	4406347		
chr14	4415448	4443839	1	Gm3164	4443839		
chr14	4430992	4519452	1	Gm3173	4519452		
chr14	4481745	4490177	1	Gm3182	4490177		
chr14	4632352	4640802	1	Gm8159	4640802		
chr14	4664192	4670850	1	Gm3239	4670850		
chr14	4709238	4717678	1	Gm7876	4717678		
chr14	4726775	4747493	1	Gm3252	4747493		
chr14	4776337	4785002	1	Gm9602	4785002		
chr14	5015891	5019119	1	Gm3298	5019119		
chr14	5050629	5059243	1	4930555G01Rik	5059243		
chr14	5071040	5093318	1	Gm8281	5093318		
chr14	5253907	5260580	-1	Gm3526	5260580		
chr14	5326255	5334928	-1	Gm3542	5334928		
chr14	5365794	5389049	-1	Gm3500	5389049		
chr14	5438065	5455467	-1	Gm3194	5455467		
chr14	5469438	5477830	-1	Gm8246	5477830		
chr14	5484207	5492584	1	Gm3187	5492584		
chr14	5501674	5522927	1	Gm3488	5522927		
chr14	5538496	5546373	1	Gm3532	5546373		
chr14	5607620	5807982	-1	Gm3383	5807982		
chr14	5630281	5633028	-1	Gm8265	5633028		
chr14	5678784	5687457	-1	Gm9603	5687457		
chr14	5718336	5741577	-1	Gm3373	5741577		
chr14	5821934	5830329	-1	Gm3424	5830329		
chr14	5857918	5880382	-1	Gm8237	5880382		
chr14	6210617	6219292	-1	Gm21560	6219292		
chr14	6259747	6287250	-1	Gm3411	6287250		
chr14	42988342	42993624	-1	Gm8082	42993624		
chr14	43010188	43015628	-1	Gm10376	43015628		
chr14	43071142	43076643	-1	Gm8094	43076643		
chr14	43229832	43235304	-1	Gm8122	43235304		
chr14	43258649	43266799	1	Gm8126	43266799		
chr14	43275036	43306011	1		43306011		
chr14	43288312	43293832	-1	Gm8127	43293832		
chr14	43410827	43416350	-1	Gm8138	43416350		
chr14	43543576	43551213	1	Gm5799	43551213		
chr14	43573843	43579146	-1	Gm17654	43579146		
chr14	43697828	43715378	1	Gm7324	43715378		
chr14	43722253	43727485	-1	Gm16506	43727485		
chr14	43747866	43755948	1	Gm6526	43755948		
chr14	43779488	43784745	-1	Gm8180	43784745		
chr14	44001826	44002269	-1	Ang6	44002269		
chr14	44330442	44338584	-1	Gm5930	44338584		
chr14	44365357	44370841	1	Gm8229	44370841		
chr14	44556795	44627938	-1	Gm5624	44627938		
chr14	44649204	44706456	-1	Gm8257	44706456		
chr14	44716838	44750340	-1	Gm8267	44750340		
chr14	49298519	49526046	-1	Slc35f4	49526046		
chr14	50034314	50040375	-1	Olfr725	50040375		
chr14	50083570	50090953	-1	Olfr726	50090953		
chr14	50123186	50128746	1	Olfr727	50128746		
chr14	50133758	50142680	-1	Olfr728	50142680		
chr14	50144731	50152910	-1	Olfr729	50152910		
chr14	50183296	50188198	-1	Olfr730	50188198		
chr14	50233531	50241866	-1	Olfr731	50241866		
chr14	50278473	50284206	-1	Olfr732	50284206		
chr14	50295891	50301522	-1	Olfr733	50301522		
chr14	50316506	50326761	-1	Olfr734	50326761		
chr14	50342612	50348872	-1	Olfr735	50348872		
chr14	50357914	50363663	1	Tlr11	50363663		
chr14	50381163	50394192	1	Olfr736	50394192		
chr14	50407568	50415438	1	Olfr738	50415438		
chr14	50418626	50427888	1	Olfr739	50427888		
chr14	50445545	50456933	1	Olfr740	50456933		
chr14	50472738	50488338	1	Olfr741	50488338		
chr14	51361756	51569982	1	Gm7247	51569982		
chr14	51552790	51662953	1	Gm5622	51662953		
chr14	51568892	51574063	-1	Gm17175	51574063		
chr14	51587653	51592139	-1	Gm17174	51592139		
chr14	51606807	51611310	-1	Gm17078	51611310		
chr14	51630273	51635666	-1	Gm4181	51635666		
chr14	51691019	51695468	-1	Gm17079	51695468		
chr14	51711643	51717183	-1	Gm5800	51717183		
chr14	51763878	51773590	-1	Ang4	51773590		
chr14	52409131	52414373	-1	Olfr1510	52414373		
chr14	52442990	52452574	1	Olfr1509	52452574		
chr14	52458829	52467495	-1	Olfr1508	52467495		
chr14	52488791	52495749	-1	Olfr1507	52495749		
chr14	63606503	63820809	1	Xkr6	63820809		
chr14	69029238	69041804	1	Stc1	69041804		
chr14	70890120	70979838	1	Gfra2	70979838		
chr14	84443563	84539002	1	Pcdh17	84539002		
chr14	88464743	88471396	-1	Pcdh20	88471396		
chr14	93013410	93890679	-1	Pcdh9	93890679		
chr14	95881254	95882780	1	4921530L21Rik	95882780		
chr14	96102736	96519102	-1	Klhl1	96519102		
chr14	101197690	101200330	-1	Prr30	101200330		
chr14	111675097	111683141	1	Slitrk5	111683141		
chr14	113314608	113316754	1	Tpm3-rs7	113316754		
chr14	115092215	116525179	1	Gpc5	116525179		
chr14	123276634	123627144	-1	Nalcn	123627144		
chr14	123659971	123975618	1	Itgbl1	123975618		
chr14	123977907	124677127	-1	Fgf14	124677127		
chr15	4898737	4962205	1	Mroh2b	4962205		
chr15	4988762	5063740	-1	C7	5063740		
chr15	9276888	9315032	1	Ugt3a1	9315032		
chr15	9335550	9370955	1	Ugt3a2	9370955		
chr15	9436028	9466038	1	Capsl	9466038		
chr15	9578193	9748868	-1	Spef2	9748868		
chr15	11064790	11349231	1	Adamts12	11349231		
chr15	16728756	16857094	1	Cdh9	16857094		
chr15	18818947	19014236	1	Cdh10	19014236		
chr15	20449265	21589533	1	Cdh12	21589533		
chr15	20665214	20666750	-1	Acot10	20666750		
chr15	22549022	23474418	1	Cdh18	23474418		
chr15	26309048	26409576	1	March11	26409576		
chr15	26540459	26895580	-1	Fbxl7	26895580		
chr15	39198261	39684372	1	Rims2	39684372		
chr15	40655035	41104592	1	Zfpm2	41104592		
chr15	41447482	41861048	1	Oxr1	41861048		
chr15	42424723	42676977	-1	Angpt1	42676977		
chr15	43020794	43170826	-1	Rspo2	43170826		
chr16	59214134	59219767	-1	Olfr199	59219767		
chr16	59266113	59272632	-1	Olfr201	59272632		
chr16	59283516	59286793	-1	Olfr202	59286793		
chr16	59298881	59304413	1	Olfr203	59304413		
chr16	59310206	59318248	-1	Olfr204	59318248		
chr16	59328005	59331138	-1	Olfr205	59331138		
chr16	59344675	59349246	-1	Olfr206	59349246		
chr16	59361160	59363993	-1	Olfr209	59363993		
chr16	59653483	60605531	-1	Epha6	60605531		
chr16	64924729	65105784	-1	Htr1f	65105854		
chr16	66655421	67620908	-1	Cadm2	67620908		
chr16	69856874	69863744	-1	Speer2	69863744		
chr16	75540514	75586061	-1	Lipi	75586061		
chr16	75592844	75602829	1	Rbm11	75602829		
chr16	77588578	77602094	-1	Gm11146	77602094		
chr16	78930948	78951733	1	Chodl	78951733		
chr16	78953008	79091097	-1	Tmprss15	79091097		
chr16	81200697	81624285	1	Ncam2	81626828		
chr16	82828382	82829881	1	Gm21833	82829881		
chr16	84515121	84523888	1	A730009L09Rik	84523888		
chr16	87895900	88290265	-1	Grik1	88290265		
chr16	89140851	89141339	1	Gm6358	89141339		
chr16	89151086	89151550	1	Gm10061	89151550		
chr16	89157952	89158348	1	Gm9789	89158348		
chr16	89169490	89169648	1	Gm7735	89169648		
chr16	89174735	89175199	1	1110057P08Rik	89175199		
chr16	89205861	89206388	1	Krtap20-2	89206394		
chr17	3635240	3696261	-1	Nox3	3696261		
